14E6E4;TP-LINK TECHNOLOGIES CO.;
647002;TP-LINK TECHNOLOGIES CO.;
6466B3;TP-LINK TECHNOLOGIES CO.;
6CE873;TP-LINK TECHNOLOGIES CO.;
08E84F;HUAWEI TECHNOLOGIES CO.;
04BD70;HUAWEI TECHNOLOGIES CO.;
18C58A;HUAWEI TECHNOLOGIES CO.;
04C06F;HUAWEI TECHNOLOGIES CO.;
5C4CA9;HUAWEI TECHNOLOGIES CO.;
4C5499;HUAWEI TECHNOLOGIES CO.;
00259E;HUAWEI TECHNOLOGIES CO.;
001882;HUAWEI TECHNOLOGIES CO.;
00906F;Cisco Systems;
0090A6;Cisco Systems;
0090AB;Cisco Systems;
7426AC;Cisco Systems;
B000B4;Cisco Systems;
2834A2;Cisco Systems;
641225;Cisco Systems;
544A00;Cisco Systems;
5067AE;Cisco Systems;
BC16F5;Cisco Systems;
6899CD;Cisco Systems;
F44E05;Cisco Systems;
0CF5A4;Cisco Systems;
5CFC66;Cisco Systems;
D0A5A6;Cisco Systems;
3C5EC3;Cisco Systems;
64F69D;Cisco Systems;
74A2E6;Cisco Systems;
204C9E;Cisco Systems;
00112F;ASUSTek COMPUTER INC.;
0011D8;ASUSTek COMPUTER INC.;
001731;ASUSTek COMPUTER INC.;
0018F3;ASUSTek COMPUTER INC.;
485B39;ASUSTek COMPUTER INC.;
F46D04;ASUSTek COMPUTER INC.;
3085A9;ASUSTek COMPUTER INC.;
00900C;Cisco Systems;
001079;Cisco Systems;
00102F;Cisco Systems;
000E08;Cisco-Linksys;
00602F;Cisco Systems;
006070;Cisco Systems;
006083;Cisco Systems;
00067C;Cisco Systems;
C8D719;Cisco-Linksys;
54781A;Cisco Systems;
58971E;Cisco Systems;
CCD539;Cisco Systems;
20BBC0;Cisco Systems;
4C4E35;Cisco Systems;
7CAD74;Cisco Systems;
10F311;Cisco Systems;
08CC68;Cisco Systems;
D0C789;Cisco Systems;
F84F57;Cisco Systems;
34DBFD;Cisco Systems;
5CA48A;Cisco Systems;
0010A6;Cisco Systems;
E86549;Cisco Systems;
84B517;Cisco Systems;
046273;Cisco Systems;
9C57AD;Cisco Systems;
00223A;Cisco SPVTG;
001839;Cisco-Linksys;
001EE5;Cisco-Linksys;
38C85C;Cisco SPVTG;
F45FD4;Cisco SPVTG;
847D50;Holley Metering Limited;
6C4A39;BITA;
04214C;Insight Energy Ventures LLC;
4C8ECC;SILKAN SA;
98F428;zte corporation;
7C5A67;JNC Systems;
C4BBEA;Pakedge Device and Software Inc;
84100D;Motorola Mobility LLC;
D88B4C;KingTing Tech.;
6C9354;Yaojin Technology (Shenzhen) Co.;
4054E4;Wearsafe Labs Inc;
8CE2DA;Circle Media Inc;
74D7CA;Panasonic Corporation Automotive;
1CCDE5;Shanghai Wind Technologies Co.;
D494E8;HUAWEI TECHNOLOGIES CO.;
B078F0;Beijing HuaqinWorld Technology Co.;
3029BE;Shanghai MRDcom Co.;
7011AE;Music Life LTD;
ECB870;Beijing Heweinet Technology Co.;
3095E3;SHANGHAI SIMCOM LIMITED;
54BE53;zte corporation;
A01E0B;MINIX Technology Limited;
D48304;SHENZHEN FAST TECHNOLOGIES CO.;
385F66;Cisco SPVTG;
58FC73;Arria Live Media;
2C1BC8;Hunan Topview Network System CO.;
D888CE;RF Technology Pty Ltd;
D4F4BE;Palo Alto Networks;
B88687;Liteon Technology Corporation;
68F956;Objetivos y Servicio de Valor Añadido;
F4E926;Tianjin Zanpu Technology Inc.;
04C23E;HTC Corporation;
2CFCE4;CTEK Sweden AB;
C0B713;Beijing Xiaoyuer Technology Co. Ltd.;
DCA3AC;RBcloudtech;
44656A;Mega Video Electronic(HK) Industry Co.;
ECA9FA;GUANGDONG GENIUS TECHNOLOGY CO.;
300C23;zte corporation;
445F8C;Intercel Group Limited;
A48D3B;Vizio;
0C756C;Anaren Microwave;
5C5188;Motorola Mobility LLC;
689AB7;Atelier Vision Corporation;
640DE6;Petra Systems;
283713;Shenzhen 3Nod Digital Technology Co.;
7CAB25;MESMO TECHNOLOGY INC.;
74042B;Lenovo Mobile Communication (Wuhan) Company Limited;
4455B1;HUAWEI TECHNOLOGIES CO.;
A45602;fenglian Technology Co.;
D06A1F;BSE CO.;
A88038;ShenZhen MovingComm Technology Co.;
805067;W & D TECHNOLOGY CORPORATION;
402814;RFI Engineering;
102C83;XIMEA;
D468BA;Shenzhen Sundray Technologies Company Limited;
A47B85;ULTIMEDIA Co Ltd;
CC37AB;Edgecore Networks Corportation;
F80D60;CANON INC.;
E02CB2;Lenovo Mobile Communication (Wuhan) Company Limited;
DC15DB;Ge Ruili Intelligent Technology ( Beijing ) Co.;
30F335;HUAWEI TECHNOLOGIES CO.;
E89120;Motorola Mobility LLC;
546172;ZODIAC AEROSPACE SAS;
54CD10;Panasonic Mobile Communications Co.;
A4A1E4;Innotube;
706879;Saijo Denki International Co.;
343D98;JinQianMao Technology Co.;
5804CB;Tianjin Huisun Technology Co.;
1CB72C;ASUSTek COMPUTER INC.;
287610;IgniteNet;
68A378;FREEBOX SAS;
746A3A;Aperi Corporation;
1844E6;zte corporation;
A8D409;USA 111 Inc;
3089D3;HONGKONG UCLOUDLINK NETWORK TECHNOLOGY LIMITED;
4CB76D;Novi Security;
906CAC;Fortinet;
00323A;so-logic;
64DB81;Syszone Co.;
C4BAA3;Beijing Winicssec Technologies Co.;
20635F;Abeeway;
E00370;ShenZhen Continental Wireless Technology Co.;
709C8F;Nero AG;
807459;K's Co.;
CC9635;LVS Co.;
700136;FATEK Automation Corporation;
E03560;Challenger Supply Holdings;
0CB5DE;Alcatel Lucent;
E4CE70;Health & Life co.;
EC5A86;Yulong Computer Telecommunication Scientific (Shenzhen) Co.;
F87AEF;Rosonix Technology;
18B169;Sonicwall;
1CC72D;Shenzhen Huapu Digital CO.;
38D82F;zte corporation;
2CA2B4;Fortify Technologies;
D87495;zte corporation;
8C873B;Leica Camera AG;
28E476;Pi-Coral;
9C685B;Octonion SA;
ACABBF;AthenTek Inc.;
5C41E7;Wiatec International Ltd.;
DC0914;Talk-A-Phone Co.;
142971;NEMOA ELECTRONICS (HK) CO. LTD;
B47356;Hangzhou Treebear Networking Co.;
D88D5C;Elentec;
50ADD5;Dynalec Corporation;
28D98A;Hangzhou Konke Technology Co.;
BC4DFB;Hitron Technologies. Inc;
40EACE;FOUNDER BROADBAND NETWORK SERVICE CO.;
10C67E;SHENZHEN JUCHIN TECHNOLOGY CO.;
3C4937;ASSMANN Electronic GmbH;
904506;Tokyo Boeki Medisys Inc.;
80A85D;Osterhout Design Group;
9C6C15;Microsoft Corporation;
EC74BA;Hirschmann Automation and Control GmbH;
683C7D;Magic Intelligence Technology Limited;
60128B;CANON INC.;
ECBAFE;GIROPTIC;
E8447E;Bitdefender SRL;
84C3E8;Vaillant GmbH;
B88EC6;Stateless Networks;
146B72;Shenzhen Fortune Ship Technology Co.;
40A5EF;Shenzhen Four Seas Global Link Network Technology Co.;
7C7A53;Phytrex Technology Corp.;
4886E8;Microsoft Corporation;
88E161;Art Beijing Science and Technology Development Co.;
B4A9FE;GHIA Technology (Shenzhen) LTD;
700FC7;SHENZHEN IKINLOOP TECHNOLOGY CO.;
EC8009;NovaSparks;
64002D;Powerlinq Co.;
101218;Korins Inc.;
B04515;mira fitness;
A49D49;Ketra;
C09879;Acer Inc.;
1C9ECB;Beijing Nari Smartchip Microelectronics Company Limited;
D48DD9;Meld Technology;
2C3796;CYBO CO.;
9470D2;WINFIRM TECHNOLOGY;
2C2997;Microsoft Corporation;
4CE2F1;sclak srl;
344DEA;zte corporation;
908C09;Total Phase;
1C7E51;3bumen.com;
380E7B;V.P.S. Thai Co.;
38F33F;TATSUNO CORPORATION;
28A5EE;Shenzhen SDGI CATV Co.;
94CE31;CTS Limited;
4CBB58;Chicony Electronics Co.;
C40006;Lipi Data Systems Ltd.;
789CE7;Shenzhen Aikede Technology Co.;
5C2ED2;ABC(XiSheng) Electronics Co.;
D8F710;Libre Wireless Technologies Inc.;
68F728;LCFC(HeFei) Electronics Technology co.;
DCEC06;Heimi Network Technology Co.;
8870EF;SC Professional Trading Co.;
102F6B;Microsoft Corporation;
ACB74F;METEL s.r.o.;
CCF538;3isysnetworks;
04DEDB;Rockport Networks Inc;
68F06D;ALONG INDUSTRIAL CO.;
54F876;ABB AG;
84930C;InCoax Networks Europe AB;
D47B35;NEO Monitors AS;
D8FB11;AXACORE;
C8D019;Shanghai Tigercel Communication Technology Co.;
18A958;PROVISION THAI CO.;
D8DECE;ISUNG CO.;
2053CA;Risk Technology Ltd;
142BD6;Guangdong Appscomm Co.;
B025AA;Private;
408256;Continental Automotive GmbH;
D866EE;BOXIN COMMUNICATION CO.;
3C189F;Nokia Corporation;
2829CC;Corsa Technology Incorporated;
FC790B;Hitachi High Technologies America;
28E6E9;SIS Sat Internet Services GmbH;
BC4E5D;ZhongMiao Technology Co.;
08F728;GLOBO Multimedia Sp. z o.o. Sp.k.;
70720D;Lenovo Mobile Communication Technology Ltd.;
8401A7;Greyware Automation Products;
C4C9EC;Gugaoo   HK Limited;
F406A5;Hangzhou Bianfeng Networking Technology Co.;
4C3909;HPL Electric & Power Private Limited;
7CFE4E;Shenzhen Safe vision Technology Co.;
54EF92;Shenzhen Elink Technology Co.;
800E24;ForgetBox;
FCE186;A3M Co.;
CCB691;NECMagnusCommunications;
40167E;ASUSTek COMPUTER INC.;
C89F1D;SHENZHEN COMMUNICATION TECHNOLOGIES CO.;
983713;PT.Navicom Indonesia;
ACA919;TrekStor GmbH;
84850A;Hella Sonnen- und Wetterschutztechnik GmbH;
183009;Woojin Industrial Systems Co.;
6081F9;Helium Systems;
34C5D0;Hagleitner Hygiene International GmbH;
74DBD1;Ebay Inc;
3431C4;AVM GmbH;
DC537C;Compal Broadband Networks;
A00627;NEXPA System;
303335;Boosty;
18D5B6;SMG Holdings LLC;
C8FF77;Dyson Limited;
DCF110;Nokia Corporation;
54DF00;Ulterius Technologies;
E01D38;Beijing HuaqinWorld Technology Co.;
D80CCF;C.G.V. S.A.S.;
143DF2;Beijing Shidai Hongyuan Network Communication Co.;
B0D59D;Shenzhen Zowee Technology Co.;
C4913A;Shenzhen Sanland Electronic Co.;
A46032;MRV Communications (Networks) LTD;
205A00;Coval;
0C2026;noax Technologies AG;
880FB6;Jabil Circuits India Pvt Ltd;
C4626B;ZPT Vigantice;
74F85D;Berkeley Nucleonics Corp;
48EE07;Silver Palm Technologies LLC;
9CFBF1;MESOMATIC GmbH & Co.KG;
94C014;Sorter Sp. j. Konrad Grzeszczyk MichaA;
1027BE;TVIP;
2087AC;AES motomation;
A824EB;ZAO NPO Introtest;
447E76;Trek Technology (S) Pte Ltd;
E8FC60;ELCOM Innovations Private Limited;
1CFCBB;Realfiction ApS;
B0EC8F;GMX SAS;
C40E45;ACK Networks;
5C254C;Avire Global Pte Ltd;
7C1A03;8Locations Co.;
481842;Shanghai Winaas Co. Equipment Co. Ltd.;
D09C30;Foster Electric Company;
78FEE2;Shanghai Diveo Technology Co.;
386C9B;Ivy Biomedical;
E44C6C;Shenzhen Guo Wei Electronic Co;
008B43;RFTECH;
2C957F;zte corporation;
242642;SHARP Corporation.;
282246;Beijing Sinoix Communication Co.;
FC1607;Taian Technology(Wuxi) Co.;
CC89FD;Nokia Corporation;
E86183;Black Diamond Advanced Technology;
C4824E;Changzhou Uchip Electronics Co.;
24A87D;Panasonic Automotive Systems Asia Pacific(Thailand)Co.;
78EC74;Kyland-USA;
28C825;DellKing Industrial Co.;
64E892;Morio Denki Co.;
086DF2;Shenzhen MIMOWAVE Technology Co.;
48D0CF;Universal Electronics;
DCC793;Nokia Corporation;
E03F49;ASUSTek COMPUTER INC.;
D8EE78;Moog Protokraft;
F4B6E5;TerraSem Co.;
28BB59;RNET Technologies;
7C8D91;Shanghai Hongzhuo Information Technology co.;
A881F1;BMEYE B.V.;
241148;Entropix;
30B5C2;TP-LINK TECHNOLOGIES CO.;
F85C45;IC Nexus Co. Ltd.;
04DB8A;Suntech International Ltd.;
083F76;Intellian Technologies;
D0634D;Meiko Maschinenbau GmbH &amp; Co. KG;
889CA6;BTB Korea INC;
B0DA00;CERA ELECTRONIQUE;
447098;MING HONG TECHNOLOGY (SHEN ZHEN) LIMITED;
00EEBD;HTC Corporation;
48B5A7;Glory Horse Industries Ltd.;
DC5E36;Paterson Technology;
50E0C7;TurControlSystme AG;
9CD643;D-Link International;
28FC51;The Electric Controller and Manufacturing Co.;
34A5E1;Sensorist ApS;
A4E9A3;Honest Technology Co.;
C4E92F;AB Sciex;
9C216A;TP-LINK TECHNOLOGIES CO.;
F862AA;xn systems;
A4059E;STA Infinity LLP;
6C15F9;Nautronix Limited;
680AD7;Yancheng Kecheng Optoelectronic Technology Co.;
BC8893;VILLBAU Ltd.;
643F5F;Exablaze;
E8F226;MILLSON CUSTOM SOLUTIONS INC.;
7060DE;LaVision GmbH;
FCFE77;Hitachi Reftechno;
70533F;Alfa Instrumentos Eletronicos Ltda.;
448A5B;Micro-Star INT'L CO.;
68193F;Digital Airways;
5CD61F;Qardio;
902083;General Engine Management Systems Ltd.;
C03580;A&R TECH;
1446E4;AVISTEL;
907990;Benchmark Electronics Romania SRL;
C49380;Speedytel technology;
B4A82B;Histar Digital Electronics Co.;
60A9B0;Merchandising Technologies;
007DFA;Volkswagen Group of America;
6024C1;Jiangsu Zhongxun Electronic Technology Co.;
6C5AB5;TCL Technoly Electronics (Huizhou) Co.;
88789C;Game Technologies SA;
18AA45;Fon Technology;
549359;SHENZHEN TWOWING TECHNOLOGIES CO.;
284430;GenesisTechnical Systems (UK) Ltd;
9843DA;INTERTECH;
B07908;Cummings Engineering;
04CB1D;Traka plc;
B87AC9;Siemens Ltd.;
B0989F;LG CNS;
3C300C;Dewar Electronics Pty Ltd;
78B5D2;Ever Treasure Industrial Limited;
A409CB;Alfred Kaercher GmbH &amp; Co KG;
C445EC;Shanghai Yali Electron Co.;
E8611F;Dawning Information Industry Co.;
0CA694;Sunitec Enterprise Co.;
146080;zte corporation;
986CF5;zte corporation;
78491D;The Will-Burt Company;
74D435;GIGA-BYTE TECHNOLOGY CO.;
840F45;Shanghai GMT Digital Technologies Co.;
D8270C;MaxTronic International Co.;
E80410;Private;
8C088B;Remote Solution;
A47760;Nokia Corporation;
24A495;Thales Canada Inc.;
883612;SRC Computers;
E0A198;NOJA Power Switchgear Pty Ltd;
CC7B35;zte corporation;
04D437;ZNV;
CCF407;EUKREA ELECTROMATIQUE SARL;
BC2BD7;Revogi Innovation Co.;
24ECD6;CSG Science & Technology Co.;
102279;ZeroDesktop;
CC4AE1;fourtec -Fourier Technologies;
A4895B;ARK INFOSOLUTIONS PVT LTD;
38EC11;Novatek Microelectronics Corp.;
A8CCC5;Saab AB (publ);
988E4A;NOXUS(BEIJING) TECHNOLOGY CO.;
1C4158;Gemalto M2M GmbH;
541B5D;Techno-Innov;
78CB33;DHC Software Co.;
507691;Tekpea;
A4C0C7;ShenZhen Hitom Communication Technology Co..LTD;
EC2257;JiangSu NanJing University Electronic Information Technology Co.;
341A4C;SHENZHEN WEIBU ELECTRONICS CO.;
A09BBD;Total Aviation Solutions Pty Ltd;
E8481F;Advanced Automotive Antennas;
18D6CF;Kurth Electronic GmbH;
E07F88;EVIDENCE Network SIA;
1C7CC7;Coriant GmbH;
542CEA;PROTECTRON;
00C5DB;Datatech Sistemas Digitales Avanzados SL;
109AB9;Tosibox Oy;
F842FB;Yasuda Joho Co.;
887398;K2E Tekpoint;
68EE96;Cisco SPVTG;
FC6018;Zhejiang Kangtai Electric Co.;
303EAD;Sonavox Canada Inc;
444A65;Silverflare Ltd.;
50A0BF;Alba Fiber Systems Inc.;
3C977E;IPS Technology Limited;
F02405;OPUS High Technology Corporation;
D8B04C;Jinan USR IOT Technology Co.;
646EEA;Iskratel d.o.o.;
043D98;ChongQing QingJia Electronics CO.;
E8BB3D;Sino Prime-Tech Limited;
98CDB4;Virident Systems;
54E3B0;JVL Industri Elektronik;
640B4A;Digital Telecom Technology Limited;
F42012;Cuciniale GmbH;
18104E;CEDINT-UPM;
2C7B84;OOO Petr Telegin;
540536;Vivago Oy;
E0FAEC;Platan sp. z o.o. sp. k.;
F08EDB;VeloCloud Networks;
B8DC87;IAI Corporation;
7C6FF8;ShenZhen ACTO Digital Video Technology Co.;
8C4B59;3D Imaging & Simulations Corp;
A4FB8D;Hangzhou Dunchong Technology Co.Ltd;
0075E1;Ampt;
CC04B4;Select Comfort;
284FCE;Liaoning Wontel Science and Technology Development Co.;
0CC81F;Summer Infant;
D86960;Steinsvik;
442AFF;E3 Technology;
0C9301;PT. Prasimax Inovasi Teknologi;
60699B;isepos GmbH;
B830A8;Road-Track Telematics Development;
542160;Resolution Products;
88462A;Telechips Inc.;
A897DC;IBM;
E8DE27;TP-LINK TECHNOLOGIES CO.;
FC229C;Han Kyung I Net Co.;
148692;TP-LINK TECHNOLOGIES CO.;
1832A2;LAON TECHNOLOGY CO.;
985C93;SBG Systems SAS;
64E599;EFM Networks;
F499AC;WEBER Schraubautomaten GmbH;
8CC7D0;zhejiang ebang communication co.;
70820E;as electronics GmbH;
DC2BCA;Zera GmbH;
508D6F;CHAHOO Limited;
68831A;Pandora Mobility Corporation;
D4223F;Lenovo Mobile Communication Technology Ltd.;
0868D0;Japan System Design;
103DEA;HFC Technology (Beijing) Ltd. Co.;
2C7B5A;Milper Ltd;
185AE8;Zenotech.Co.;
E0AEED;LOENK;
D4EE07;HIWIFI Co.;
908260;IEEE 1904.1 Working Group;
FCAD0F;QTS NETWORKS;
984C04;Zhangzhou Keneng Electrical Equipment Co Ltd;
CC047C;G-WAY Microwave;
44F849;Union Pacific Railroad;
1CFA68;TP-LINK TECHNOLOGIES CO.;
D0BE2C;CNSLink Co.;
281878;Microsoft Corporation;
E457A8;Stuart Manufacturing;
2481AA;KSH International Co.;
789966;Musilab Electronics (DongGuan)Co.;
EC2C49;University of Tokyo;
CC5D57;Information  System Research Institute;
1C37BF;Cloudium Systems Ltd.;
249504;SFR;
308999;Guangdong East Power Co.;
D4A499;InView Technology Corporation;
AC4122;Eclipse Electronic Systems Inc.;
A073FC;Rancore Technologies Private Limited;
846223;Shenzhen Coship Electronics Co.;
A4E991;SISTEMAS AUDIOVISUALES ITELSIS S.L.;
84F493;OMS spol. s.r.o.;
386793;Asia Optical Co.;
BCD177;TP-LINK TECHNOLOGIES CO.;
C8B373;Cisco-Linksys;
983071;DAIKYUNG VASCOM;
0C0400;Jantar d.o.o.;
C04301;Epec Oy;
687CD5;Y Soft Corporation;
E07C62;Whistle Labs;
FC4499;Swarco LEA d.o.o.;
0C8484;Zenovia Electronics Inc.;
5CF370;CC&C Technologies;
A01C05;NIMAX TELECOM CO.;
F80DEA;ZyCast Technology Inc.;
1800DB;Fitbit Inc.;
50A715;Aboundi;
FC35E6;Visteon corp;
D866C6;Shenzhen Daystar Technology Co.;
1836FC;Elecsys International Corporation;
F48139;CANON INC.;
D40BB9;Solid Semecs bv.;
748E08;Bestek Corp.;
B8C855;Shanghai GBCOM Communication Technology Co.;
C47DFE;A.N. Solutions GmbH;
E031D0;SZ Telstar CO.;
70C6AC;Bosch Automotive Aftermarket;
2C69BA;RF Controls;
DC5726;Power-One;
2C245F;Babolat VS;
D464F7;CHENGDU USEE DIGITAL TECHNOLOGY CO.;
A47ACF;VIBICOM COMMUNICATIONS INC.;
CC3C3F;SA.S.S. Datentechnik AG;
905692;Autotalks Ltd.;
0C2AE7;Beijing General Research Institute of Mining and Metallurgy;
DCD52A;Sunny Heart Limited;
C4C755;Beijing HuaqinWorld Technology Co.;
9C79AC;Suntec Software(Shanghai) Co.;
F8DFA8;zte corporation;
ACA430;Peerless AV;
B4AB2C;MtM Technology Corporation;
74372F;Tongfang Shenzhen Cloudcomputing Technology Co.;
BC51FE;Swann communications Pty Ltd;
D40FB2;Applied Micro Electronics AME bv;
74FE48;ADVANTECH CO.;
D0B498;Robert Bosch LLC Automotive Electronics;
80B95C;ELFTECH Co.;
E85AA7;LLC Emzior;
242FFA;Toshiba Global Commerce Solutions;
A0BAB8;Pixon Imaging;
9CE1D6;Junger Audio-Studiotechnik GmbH;
E4E409;LEIFHEIT AG;
004D32;Andon Health Co.;
C46DF1;DataGravity;
28D244;LCFC(HeFei) Electronics Technology Co.;
ACE87E;Bytemark Computer Consulting Ltd;
60CDC5;Taiwan Carol Electronics.;
60C5A8;Beijing LT Honway Technology Co.;
B4DF3B;Chromlech;
A46E79;DFT System Co.Ltd;
94DE80;GIGA-BYTE TECHNOLOGY CO.;
C88A83;Dongguan HuaHong Electronics Co.;
0CC655;Wuxi YSTen Technology Co.;
D410CF;Huanshun Network Science and Technology Co.;
B80415;Bayan Audio;
84C8B1;Incognito Software Systems Inc.;
645A04;Chicony Electronics Co.;
5C89D4;Beijing Banner Electric Co.;
984CD3;Mantis Deposition;
8C4CDC;PLANEX COMMUNICATIONS INC.;
D063B4;SolidRun Ltd.;
2C3BFD;Netstor Technology Co.;
F073AE;PEAK-System Technik;
684CA8;Shenzhen Herotel Tech. Co.;
F4472A;Nanjing Rousing Sci. and Tech. Industrial Co.;
185253;Pixord Corporation;
FCA9B0;MIARTECH (SHANGHAI);
80D733;QSR Automations;
8C3330;EmFirst Co.;
08E5DA;NANJING FUJITSU COMPUTER PRODUCTS CO.;
5884E4;IP500 Alliance e.V.;
04E9E5;PJRC.COM;
703811;Invensys Rail;
ACE64B;Shenzhen Baojia Battery Technology Co.;
303294;W-IE-NE-R Plein & Baus GmbH;
EC473C;Redwire;
5481AD;Eagle Research Corporation;
7C822D;Nortec;
745FAE;TSL PPL;
8462A6;EuroCB (Phils);
80FA5B;CLEVO CO.;
E4F365;Time-O-Matic;
18550F;Cisco SPVTG;
1C9179;Integrated System Technologies Ltd;
38F597;home2net GmbH;
386645;OOSIC Technology CO.;
D0DFB2;Genie Networks Limited;
808B5C;Shenzhen Runhuicheng Technology Co.;
04586F;Sichuan Whayer information industry Co.;
449B78;The Now Factory;
D052A8;Physical Graph Corporation;
34F62D;SHARP Corporation;
C4EBE3;RRCN SAS;
4C1A95;Novakon Co.;
C04A00;TP-LINK TECHNOLOGIES CO.;
9C3178;Foshan Huadian Intelligent Communications Teachnologies Co.;
48BE2D;Symanitron;
B86091;Onnet Technologies and Innovations LLC;
D4CA6E;u-blox AG;
C011A6;Fort-Telecom ltd.;
B8DAF1;Strahlenschutz- Entwicklungs- und Ausruestungsgesellschaft mbH;
1C11E1;Wartsila Finland Oy;
50465D;ASUSTek COMPUTER INC.;
74BFA1;HYUNTECK;
F8AA8A;Axview Technology (Shenzhen) Co.;
5894CF;Vertex Standard LMR;
2C5AA3;PROMATE ELECTRONIC CO.LTD;
B4009C;CableWorld Ltd.;
803FD6;bytes at work AG;
645FFF;Nicolet Neuro;
2829D9;GlobalBeiMing technology (Beijing)Co. Ltd;
189A67;CSE-Servelec Limited;
38A5B6;SHENZHEN MEGMEET ELECTRICAL CO.;
E43FA2;Wuxi DSP Technologies Inc.;
00FD4C;NEVATEC;
6045BD;Microsoft;
9C54CA;Zhengzhou VCOM Science and Technology Co.;
388AB7;ITC Networks;
BCC23A;Thomson Video Networks;
00BF15;Genetec Inc.;
20F85E;Delta Electronics;
68CE4E;L-3 Communications Infrared Products;
68B6FC;Hitron Technologies. Inc;
7C160D;Saia-Burgess Controls AG;
A4D18F;Shenzhen Skyee Optical Fiber Communication Technology Ltd. ;
0C565C;HyBroad Vision (Hong Kong) Technology Co Ltd;
649FF7;Kone OYj;
4C068A;Basler Electric Company;
E0A30F;Pevco;
5C1737;I-View Now;
049C62;BMT Medical Technology s.r.o.;
C4BA99;I+ME Actia Informatik und Mikro-Elektronik GmbH;
0C2A69;electric imp;
BC811F;Ingate Systems;
34E0CF;zte corporation;
6C40C6;Nimbus Data Systems;
503F56;Syncmold Enterprise Corp;
D04CC1;SINTRONES Technology Corp.;
DC9FA4;Nokia Corporation;
44C39B;OOO RUBEZH NPO;
58C232;NEC Corporation;
D8C691;Hichan Technology Corp.;
7C02BC;Hansung Electronics Co. LTD;
1848D8;Fastback Networks;
702393;fos4X GmbH;
58ECE1;Newport Corporation;
14358B;Mediabridge Products;
34996F;VPI Engineering;
241064;Shenzhen Ecsino Tecnical Co. Ltd;
10D1DC;INSTAR Deutschland GmbH;
D8160A;Nippon Electro-Sensory Devices;
F45433;Rockwell Automation;
EC9327;MEMMERT GmbH + Co. KG;
1C43EC;JAPAN CIRCUIT CO.;
BC28D6;Rowley Associates Limited;
F05F5A;Getriebebau NORD GmbH and Co. KG;
009569;LSD Science and Technology Co.;
34C803;Nokia Corporation;
5011EB;SilverNet Ltd;
5CD41B;UCZOON Technology Co.;
783CE3;Kai-EE;
0868EA;EITO ELECTRONICS CO.;
5C4A26;Enguity Technology Corp;
289EDF;Danfoss Turbocor Compressors;
50053D;CyWee Group Ltd;
4C64D9;Guangdong Leawin Group Co.;
7CB03E;OSRAM GmbH;
14B1C8;InfiniWing;
C0493D;MAITRISE TECHNOLOGIQUE;
34A7BA;Fischer International Systems Corporation;
ACD364;ABB SPA;
38F8B7;V2COM PARTICIPACOES S.A.;
B48255;Research Products Corporation;
2C750F;Shanghai Dongzhou-Lawton Communication Technology Co. Ltd.;
B40418;Smartchip Integrated Inc.;
F4EA67;Cisco Systems;
D0AEEC;Alpha Networks Inc.;
3C98BF;Quest Controls;
D05785;Pantech Co.;
045C06;Zmodo Technology Corporation;
504A5E;Masimo Corporation;
38BF33;NEC CASIO Mobile Communications;
A041A7;NL Ministry of Defense;
342F6E;Anywire corporation;
E86D6E;voestalpine SIGNALING Fareham Ltd.;
F8D462;Pumatronix Equipamentos Eletronicos Ltda.;
5453ED;Sony Corporation;
940070;Nokia Corporation;
6C3A84;Shenzhen Aero-Startech. Co.Ltd;
442B03;Cisco Systems;
781C5A;SHARP Corporation;
E4C6E6;Mophie;
502D1D;Nokia Corporation;
BCEA2B;CityCom GmbH;
944444;LG Innotek;
E4C806;Ceiec Electric Technology Inc.;
18B591;I-Storm;
A45630;Cisco Systems;
002AAF;LARsys-Automation GmbH;
60F3DA;Logic Way GmbH;
A06D09;Intelcan Technosystems Inc.;
BC1401;Hitron Technologies. Inc;
68D925;ProSys Development Services;
B41DEF;Internet Laboratories;
284121;OptiSense Network;
5057A8;Cisco Systems;
38458C;MyCloud Technology corporation;
0C9D56;Consort Controls Ltd;
3CCE73;Cisco Systems;
A47C14;ChargeStorm AB;
F4600D;Panoptic Technology;
ACCF23;Hi-flying electronics technology Co.;
C08170;Effigis GeoSolutions;
78C4AB;Shenzhen Runsil Technology Co.;
709A0B;Italian Institute of Technology;
240917;Devlin Electronics Limited;
DC37D2;Hunan HKT Electronic Technology Co.;
5076A6;Ecil Informatica Ind. Com. Ltda;
B431B8;Aviwest;
241125;Hutek Co.;
0036FE;SuperVision;
CC187B;Manzanita Systems;
38B12D;Sonotronic Nagel GmbH;
8020AF;Trade FIDES;
50D274;Steffes Corporation;
48D54C;Jeda Networks;
3497FB;ADVANCED RF TECHNOLOGIES INC;
C46413;Cisco Systems;
143AEA;Dynapower Company LLC;
9CA134;Nike;
B4D8A9;BetterBots;
7CC8D7;Damalisk;
0091FA;Synapse Product Development;
A05AA4;Grand Products Nevada;
24C0B3;RSF;
E00B28;Inovonics;
500B32;Foxda Technology Industrial(ShenZhen)Co.;
302DE8;JDA;
70CA9B;Cisco Systems;
2C3F38;Cisco Systems;
803F5D;Winstars Technology Ltd;
780738;Z.U.K. Elzab S.A.;
640E36;TAZTAG;
70EE50;Netatmo;
EC63E5;ePBoard Design LLC;
60B606;Phorus;
F4E6D7;Solar Power Technologies;
78DDD6;c-scape;
984A47;CHG Hospital Beds;
3C6A7D;Niigata Power Systems Co.;
