001BFC;ASUSTek COMPUTER INC.;
001E8C;ASUSTek COMPUTER INC.;
0015F2;ASUSTek COMPUTER INC.;
002354;ASUSTek COMPUTER INC.;
001FC6;ASUSTek COMPUTER INC.;
60182E;ShenZhen Protruly Electronic Ltd co.;
F4CFE2;Cisco Systems;
501CBF;Cisco Systems;
285FDB;HUAWEI TECHNOLOGIES CO.;
404D8E;HUAWEI TECHNOLOGIES CO.;
781DBA;HUAWEI TECHNOLOGIES CO.;
001E10;HUAWEI TECHNOLOGIES CO.;
88F031;Cisco Systems;
508789;Cisco Systems;
381C1A;Cisco Systems;
F40F1B;Cisco Systems;
BC671C;Cisco Systems;
A0ECF9;Cisco Systems;
D46D50;Cisco Systems;
1CE85D;Cisco Systems;
C47295;Cisco Systems;
A0554F;Cisco Systems;
84B802;Cisco Systems;
BCC493;Cisco Systems;
001947;Cisco SPVTG;
0022CE;Cisco SPVTG;
F02929;Cisco Systems;
ECE1A9;Cisco Systems;
7C69F6;Cisco Systems;
C08C60;Cisco Systems;
C0255C;Cisco Systems;
885A92;Cisco Systems;
E4C722;Cisco Systems;
C07BBC;Cisco Systems;
0090F2;Cisco Systems;
00173B;Cisco Systems;
00400B;Cisco Systems;
006009;Cisco Systems;
006047;Cisco Systems;
0006C1;Cisco Systems;
00E014;Cisco Systems;
00E01E;Cisco Systems;
ACF2C5;Cisco Systems;
84285A;Saffron Solutions Inc;
80A1AB;Intellisis;
F832E4;ASUSTek COMPUTER INC.;
0010FF;Cisco Systems;
34BDC8;Cisco Systems;
54A274;Cisco Systems;
5897BD;Cisco Systems;
046C9D;Cisco Systems;
141357;ATP Electronics;
F44B2A;Cisco SPVTG;
3C8CF8;TRENDnet;
78D6B2;Toshiba;
C04A09;Zhejiang Everbright Communication Equip. Co;
F00D5C;JinQianMao  Technology Co.;
2C081C;OVH;
30E090;Linctronix Ltd;
70BF3E;Charles River Laboratories;
D848EE;Hangzhou Xueji Technology Co.;
88C242;Poynt Co.;
E8343E;Beijing Infosec Technologies Co.;
C4ADF1;GOPEACE Inc.;
58F496;Source Chain;
80B709;Viptela;
741865;Shanghai DareGlobal Technologies Co.;
0084ED;Private;
DCDC07;TRP Systems BV;
080A4E;Planet Bingo® — 3rd Rock Gaming®;
0C1A10;Acoustic Stream;
E4A387;Control Solutions LLC;
DC82F6;iPort;
C49E41;G24 Power Limited;
D03E5C;HUAWEI TECHNOLOGIES CO.;
C8A9FC;Goyoo Networks Inc.;
C49FF3;Mciao Technologies;
7C2BE1;Shenzhen Ferex Electrical Co.;
30FFF6;HangZhou KuoHeng Technology Co.;
5853C0;Beijing Guang Runtong Technology Development Company co.;
5031AD;ABB Global Industries and Services Private Limited;
30A243;Shenzhen Prifox Innovation Technology Co.;
2CA539;Parallel Wireless;
FC335F;Polyera;
A8C87F;Roqos;
C025A2;NEC Platforms;
7853F2;ROXTON Ltd.;
94BBAE;Husqvarna AB;
AC8995;AzureWave Technology Inc.;
F898B9;HUAWEI TECHNOLOGIES CO.;
1C497B;Gemtek Technology Co.;
2CCF58;HUAWEI TECHNOLOGIES CO.;
54FF82;Davit Solution co.;
D445E8;Jiangxi Hongpai Technology Co.;
847973;Shanghai Baud Data Communication Co.;
906F18;Private;
881B99;SHENZHEN XIN FEI JIA ELECTRONIC CO. LTD.;
681295;Lupine Lighting Systems GmbH;
649A12;P2 Mobile Technologies Limited;
E4C2D1;HUAWEI TECHNOLOGIES CO.;
DC3CF6;Atomic Rules LLC;
3C3178;Qolsys Inc.;
083A5C;Junilab;
4CAE31;ShengHai Electronics (Shenzhen) Ltd;
F0D657;ECHOSENS;
24693E;innodisk Corporation;
E48D8C;Routerboard.com;
C0DC6A;Qingdao Eastsoft Communication Technology Co.;
6459F8;Vodafone Omnitel B.V.;
082CB0;Network Instruments;
485073;Microsoft Corporation;
3CA31A;Oilfind International LLC;
A424DD;Cambrionix Ltd;
88A2D7;HUAWEI TECHNOLOGIES CO.;
D89A34;Beijing SHENQI Technology Co.;
1CADD1;Bosung Electronics Co.;
24E5AA;Philips Oral Healthcare;
88CBA5;Suzhou Torchstar Intelligent Technology Co.;
046169;MEDIA GLOBAL LINKS CO.;
AC562C;LAVA INTERNATIONAL(H.K) LIMITED;
3CCE15;Mercedes-Benz USA;
84DF19;Chuango Security Technology Corporation;
3C4711;HUAWEI TECHNOLOGIES CO.;
245BF0;Liteon;
FCFEC2;Invensys Controls UK Limited;
E8F2E2;LG Innotek;
AC676F;Electrocompaniet A.S.;
4CB82C;Cambridge Mobile Telematics;
F0224E;Esan electronic co.;
B0411D;ITTIM Technologies;
7CB25C;Acacia Communications;
78EB39;Instituto Nacional de Tecnología Industrial;
ECEED8;ZTLX Network Technology Co.;
F85B9C;SB SYSTEMS Co.;
7CA237;King Slide Technology CO.;
847303;Letv Mobile and Intelligent Information Technology (Beijing) Corporation Ltd.;
B0495F;OMRON HEALTHCARE Co.;
F44713;Leading Public Performance Co.;
D4522A;TangoWiFi.com;
B0ECE1;Private;
407FE0;Glory Star Technics (ShenZhen) Limited;
BC5C4C;ELECOM CO.;
6CA75F;zte corporation;
C8C50E;Shenzhen Primestone Network Technologies.Co.;
9CBEE0;Biosoundlab Co.;
5C5B35;Mist Systems;
E807BF;SHENZHEN BOOMTECH INDUSTRY CO.;
E8162B;IDEO Security Co.;
709F2D;zte corporation;
ECE2FD;SKG Electric Group(Thailand) Co.;
88E603;Avotek corporation;
74E28C;Microsoft Corporation;
94F19E;HUIZHOU MAORONG INTELLIGENT TECHNOLOGY CO.;
C4924C;KEISOKUKI CENTER CO.;
E4F939;Minxon Hotel Technology INC.;
38C70A;WiFiSong;
60E6BC;Sino-Telecom Technology Co.;
486EFB;Davit System Technology Co.;
340A22;TOP-ACCESS ELECTRONICS CO LTD;
B008BF;Vital Connect;
485415;NET RULES TECNOLOGIA EIRELI;
70C76F;INNO S;
704E66;SHENZHEN FAST TECHNOLOGIES CO.;
409B0D;Shenzhen Yourf Kwan Industrial Co.;
C40880;Shenzhen UTEPO Tech Co.;
94C038;Tallac Networks;
801967;Shanghai Reallytek Information Technology  Co.;
6836B5;DriveScale;
2CF7F1;Seeed Technology Inc.;
F88479;Yaojin Technology(Shenzhen)Co.;
4C48DA;Beijing Autelan Technology Co.;
90179B;Nanomegas;
3077CB;Maike Industry(Shenzhen)CO.;
3428F0;ATN International Limited;
EC3C5A;SHEN ZHEN HENG SHENG HUI DIGITAL TECHNOLOGY CO.;
8C0551;Koubachi AG;
E887A3;Loxley Public Company Limited;
10FACE;Reacheng Communication Technology Co.;
D8CB8A;Micro-Star INTL CO.;
A8D0E3;Systech Electronics Ltd.;
8463D6;Microsoft Corporation;
78B3B9;ShangHai sunup lighting CO.;
186571;Top Victory Electronics (Taiwan) Co.;
F8BC41;Rosslare Enterprises Limited;
8486F3;Greenvity Communications;
205CFA;Yangzhou ChangLian Network Technology Co;
8C18D9;Shenzhen RF Technology Co.;
6099D1;Vuzix / Lenovo;
34F6D2;Panasonic Taiwan Co.;
DC2F03;Step forward Group Co.;
582136;KMB systems;
00AEFA;Murata Manufacturing Co.;
8CDF9D;NEC Corporation;
F8E903;D-Link International;
6828F6;Vubiq Networks;
44356F;Neterix;
742EFC;DirectPacket Research;
20C06D;SHENZHEN SPACETEK TECHNOLOGY CO.;
3CB792;Hitachi Maxell;
7491BD;Four systems Co.;
D43266;Fike Corporation;
948E89;INDUSTRIAS UNIDAS SA DE CV;
9405B6;Liling FullRiver Electronics & Technology Ltd;
382C4A;ASUSTek COMPUTER INC.;
74547D;Cisco SPVTG;
D48F33;Microsoft Corporation;
1CA2B1;ruwido austria gmbh;
945493;Rigado;
34B7FD;Guangzhou Younghead Electronic Technology Co.;
384B76;AIRTAME ApS;
1C5216;DONGGUAN HELE ELECTRONICS CO.;
70AF25;Nishiyama Industry Co.;
B47C29;Shenzhen Guzidi Technology Co.;
2C1A31;Electronics Company Limited;
6C198F;D-Link International;
60C1CB;Fujian Great Power PLC Equipment Co.;
686E48;Prophet Electronic Technology Corp.;
30F7D7;Thread Technology Co.;
3808FD;Silca Spa;
7C2587;chaowifi.com;
2012D5;Scientech Materials Corporation;
EC1D7F;zte corporation;
AC11D3;Suzhou HOTEK  Video Technology Co. Ltd;
304225;BURG-WÄCHTER KG;
1C4840;IMS Messsysteme GmbH;
F42853;Zioncom Electronics (Shenzhen) Ltd.;
3C46D8;TP-LINK TECHNOLOGIES CO.;
6C0273;Shenzhen Jin Yun Video Equipment Co.;
F42833;MMPC Inc.;
244F1D;iRule LLC;
BC9CC5;Beijing Huafei Technology Co.;
505065;TAKT Corporation;
A4A4D3;Bluebank Communication Technology Co.Ltd;
74F413;Maxwell Forest;
34F0CA;Shenzhen Linghangyuan Digital Technology Co.;
30B5F1;Aitexin Technology Co.;
08CD9B;samtec automotive electronics & software GmbH;
28FCF6;Shenzhen Xin KingBrand enterprises Co.;
4C26E7;Welgate Co.;
94D60E;shenzhen yunmao information technologies co.;
7C6AC3;GatesAir;
3CCD5A;Technische Alternative GmbH;
604826;Newbridge Technologies Int. Ltd.;
24D13F;MEXUS CO.;
702C1F;Wisol;
9CBD9D;SkyDisk;
74C621;Zhejiang Hite Renewable Energy Co.;
44C306;SIFROM Inc.;
54A31B;Shenzhen Linkworld Technology Co;
5CE7BF;New Singularity International Technical Development Co.;
1CEEE8;Ilshin Elecom;
6C641A;Penguin Computing;
E036E3;Stage One International Co.;
34DE34;zte corporation;
34466F;HiTEM Engineering;
2C39C1;Ciena Corporation;
6C2C06;OOO NPP Systemotechnika-NN;
54EE75;Wistron InfoComm(Kunshan)Co.;
60812B;Custom Control Concepts;
F86601;Suzhou Chi-tek information technology Co.;
FC4AE9;Castlenet Technology Inc.;
34E42A;Automatic Bar Controls Inc.;
20A787;Bointec Taiwan Corporation Limited;
A481EE;Nokia Corporation;
54C80F;TP-LINK TECHNOLOGIES CO.;
EC1766;Research Centre Module;
7CFF62;Huizhou Super Electron Technology Co.;
A0D12A;AXPRO Technology Inc.;
30C750;MIC Technology Group;
442938;NietZsche enterprise Co.Ltd.;
D881CE;AHN INC.;
E0D31A;EQUES Technology Co.;
9C3EAA;EnvyLogic Co.;
909864;Impex-Sat GmbH&amp;Co KG;
DCE578;Experimental Factory of Scientific Engineering and Special Design Department;
949F3F;Optek Digital Technology company limited;
987770;Pep Digital Technology (Guangzhou) Co.;
4411C2;Telegartner Karl Gartner GmbH;
9451BF;Hyundai ESG;
4C7F62;Nokia Corporation;
F03FF8;R L Drake;
B0C554;D-Link International;
54D163;MAX-TECH;
E41218;ShenZhen Rapoo Technology Co.;
2C8A72;HTC Corporation;
4486C1;Siemens Low Voltage & Products;
C83168;eZEX corporation;
F84A73;EUMTECH CO.;
880F10;Huami Information Technology Co.;
24336C;Private;
C46BB4;myIDkey;
ECE512;tado GmbH;
30918F;Technicolor;
FC09F6;GUANGDONG TONZE ELECTRIC CO.;
687848;Westunitis Co.;
A8B9B3;ESSYS;
64B370;PowerComm Solutions LLC;
D86595;Toy's Myth Inc.;
D8DD5F;BALMUDA Inc.;
88D962;Canopus Systems US LLC;
2C18AE;Trend Electronics Co.;
E097F2;Atomax Inc.;
90F3B7;Kirisun Communications Co.;
DCAD9E;GreenPriz;
B4827B;AKG Acoustics GmbH;
908C44;H.K ZONGMU TECHNOLOGY CO.;
0C473D;Hitron Technologies. Inc;
